Vuln_ID,Severity,Group_Title,Rule_ID,STIG_ID
V-38437,low,SRG-OS-999999,SV-50237r1_rule,RHEL-06-000526
V-38438,low,SRG-OS-000062,SV-50238r4_rule,RHEL-06-000525
V-38439,medium,SRG-OS-000001,SV-50239r1_rule,RHEL-06-000524
V-38443,medium,SRG-OS-999999,SV-50243r1_rule,RHEL-06-000036
V-38444,medium,SRG-OS-000231,SV-50244r2_rule,RHEL-06-000523
V-38445,medium,SRG-OS-000057,SV-50245r2_rule,RHEL-06-000522
V-38446,medium,SRG-OS-999999,SV-50246r2_rule,RHEL-06-000521
V-38447,low,SRG-OS-999999,SV-50247r4_rule,RHEL-06-000519
V-38448,medium,SRG-OS-999999,SV-50248r1_rule,RHEL-06-000037
V-38449,medium,SRG-OS-999999,SV-50249r1_rule,RHEL-06-000038
V-38450,medium,SRG-OS-999999,SV-50250r1_rule,RHEL-06-000039
V-38451,medium,SRG-OS-999999,SV-50251r1_rule,RHEL-06-000040
V-38452,low,SRG-OS-999999,SV-50252r2_rule,RHEL-06-000518
V-38453,low,SRG-OS-999999,SV-50253r2_rule,RHEL-06-000517
V-38454,low,SRG-OS-999999,SV-50254r2_rule,RHEL-06-000516
V-38455,low,SRG-OS-999999,SV-50255r1_rule,RHEL-06-000001
V-38456,low,SRG-OS-999999,SV-50256r1_rule,RHEL-06-000002
V-38457,medium,SRG-OS-999999,SV-50257r1_rule,RHEL-06-000041
V-38458,medium,SRG-OS-999999,SV-50258r1_rule,RHEL-06-000042
V-38459,medium,SRG-OS-999999,SV-50259r1_rule,RHEL-06-000043
V-38460,low,SRG-OS-000104,SV-50260r1_rule,RHEL-06-000515
V-38461,medium,SRG-OS-999999,SV-50261r1_rule,RHEL-06-000044
V-38463,low,SRG-OS-999999,SV-50263r1_rule,RHEL-06-000003
V-38464,medium,SRG-OS-000047,SV-50264r1_rule,RHEL-06-000511
V-38465,medium,SRG-OS-000259,SV-50265r3_rule,RHEL-06-000045
V-38466,medium,SRG-OS-000259,SV-50266r4_rule,RHEL-06-000046
V-38467,low,SRG-OS-000044,SV-50267r1_rule,RHEL-06-000004
V-38468,medium,SRG-OS-000047,SV-50268r1_rule,RHEL-06-000510
V-38469,medium,SRG-OS-000259,SV-50269r3_rule,RHEL-06-000047
V-38470,medium,SRG-OS-000045,SV-50270r2_rule,RHEL-06-000005
V-38471,low,SRG-OS-000043,SV-50271r1_rule,RHEL-06-000509
V-38472,medium,SRG-OS-000259,SV-50272r1_rule,RHEL-06-000048
V-38473,low,SRG-OS-999999,SV-50273r1_rule,RHEL-06-000007
V-38474,low,SRG-OS-000030,SV-50274r2_rule,RHEL-06-000508
